Unnamed: 0,Start,End,Latitude,Longitude
0,2016-06-02 15:00:37.707112,2016-06-02 15:00:38.048132,111,222
1,2016-06-02 15:00:38.564161,2016-06-02 15:00:38.702169,111,222
2,2016-06-02 15:00:38.905181,2016-06-02 15:00:39.091191,111,222
3,2016-06-02 15:00:50.977871,2016-06-02 15:00:58.692312,111,222
4,2016-06-02 15:00:59.105336,2016-06-02 15:00:59.409353,111,222
5,2016-06-02 15:00:59.459356,2016-06-02 15:01:07.554819,111,222
6,2016-06-02 15:01:10.750002,2016-06-02 15:01:10.825006,111,222
7,2016-06-02 15:01:10.865009,2016-06-02 15:01:11.114023,111,222
8,2016-06-02 15:01:11.280032,2016-06-02 15:01:11.328035,111,222
9,2016-06-02 15:01:12.337093,2016-06-02 15:01:12.671112,111,222
10,2016-06-02 15:01:13.140139,2016-06-02 15:01:14.253202,111,222
11,2016-06-02 15:01:15.698285,2016-06-02 15:01:25.146826,111,222
12,2016-06-02 15:01:25.391840,2016-06-02 15:01:25.432842,111,222
13,2016-06-02 15:01:25.486845,2016-06-02 15:01:31.967216,111,222
14,2016-06-02 15:01:32.064221,2016-06-02 15:01:32.190228,111,222
